Subgroup	Sample	Type	Normalized_depth
b1/b2	C156-CBA03	Control	0.689044289044289
b1/b2	KOR01	Control	0.668502123371482
b1/b2	KOR02	Control	0.660057066493301
b1/b2	KOR03	Control	0.633237415183489
b1/b2	KOR04	CON	0.647576467248598
b1/b2	KOR05	Control	0.658023963857787
b1/b2	KOR07	CON	0.677039082412915
b3	C001-CHA-E01	Control	0.408899579073963
b3	C002-CHA-E02	Control	0.24024024024024
b3	C003-CHA-E03	Control	0.483570985740856
b3	C004-CHA-E04	Control	0.317266625991458
b3	C005-CHA-E05	CON	0.719424460431655
b3	C006-CHA-E06	Control	0.359928014397121
b3	C007-CHA-E07	r3-r4-g1-g2-b4	0.710843373493976
b3	C008-CHA-E08	Control	0.289156626506024
b3	C010-CHA-E10	r1-r2-gy1	0.278787878787879
b3	C011-CHA-E11	r3-r4-g2-b3-gy1	0
b3	C012-CHA-E12	Control	0.323159784560144
b3	C013-CHA-E13	Control	0.23142509135201
b3	C014-CHA-E14	Control	0.312876052948255
b3	C015-CHA-E15	Control	0.293577981651376
b3	C016-CHA-E16	r3-r4-g1-g2-b4	0.650602409638554
b3	C017-CHA-E17	Control	0.310818888224746
b3	C018-CHA-E18	Control	0.424499696785931
b3	C019-CHA-E19	Control	0.276276276276276
b3	C020-CHA-E20	Control	0.253776435045317
b3	C021-CHA-S01	Control	0.363856882959369
b3	C021-CHA-S01_2	Control	0.305250305250305
b3	C022-CHA-S02	Control	0.376442015786278
b3	C023-CHA-S03	Control	0.473876063183475
b3	C023-CHA-S03_2	Control	0.348557692307692
b3	C024-CHA-S04	r1-r2-gy1	0
b3	C024-CHA-S04_2	Control	0.334728033472803
b3	C025-CHA-S05	CON	0.562537402752843
b3	C026-CHA-S06	Control	0.279635258358663
b3	C027-CHA-S07	Control	0.438756855575868
b3	C028-CHA-S08	Control	0.279465370595383
b3	C029-CHA-S09	Control	0.351728320194057
b3	C030-CHA-S10	Control	0.0963275135460566
b3	C035-CHA-S15	Control	0.391676866585067
b3	C036-CHA-S16	r1-r2-gy1	0.371702637889688
b3	C037-CHA-S17	Control	0.315725561627201
b3	C038-CHA-S18	Control	0.267639902676399
b3	C039-CHA-S19	Control	0.399757722592368
b3	C040-CHA-S20	Control	0.276774969915764
b3	C041-CHA-N01	Control	0.253623188405797
b3	C042-CHA-N02	Control	0.306184935701164
b3	C044-CHA-N04	Control	0.329067641681901
b3	C045-CHA-N05	Control	0.168067226890756
b3	C046-CHA-N06	r3-r4-g1-g2-b4	0.347513481126423
b3	C047-CHA-N07	r3-r4-g1-g2-b4	0.323353293413174
b3	C048-CHA-N08	Control	0.229607250755287
b3	C049-CHA-N09	Control	0.117785630153121
b3	C050-CHA-N10	CON	0.639324487334138
b3	C051-CHA-N11	CON	0.67919951485749
b3	C052-CHA-N12	r3-r4-g2-b3-gy1	0
b3	C054-CHA-N14	Control	0.341047503045067
b3	C055-CHA-N15	CON	0.617433414043584
b3	C056-CHA-N16	Control	0.27060270602706
b3	C057-CHA-N17	Control	0.537897310513447
b3	C058-CHA-N18	Control	0.56570418385386
b3	C059-CHA-N19	r3-r4-g2-b3-gy1	0
b3	C061-CHA-NE01	CON	0.73215375228798
b3	C062-CHA-NE02	Control	0.194528875379939
b3	C063-CHA-NE03	Control	0.37621359223301
b3	C064-CHA-NE04	r3-r4-g1-g2-b4	0.669914738124239
b3	C066-CHA-NE06	Control	0.320197044334975
b3	C067-CHA-NE07	Control	0.363636363636364
b3	C069-CHA-NE09	Control	0.401459854014599
b3	C070-CHA-NE10	Control	0.411622276029056
b3	C071-CHA-NE11	Control	0.271386430678466
b3	C072-CHA-NE12	Control	0.30229746070133
b3	C073-CHA-NE13	r3-r4-g1-g2-b4	0.552552552552553
b3	C074-CHA-NE14	Control	0.240384615384615
b3	C075-CHA-NE15	CON	0.592503022974607
b3	C076-CHA-NE16	Control	0.25609756097561
b3	C077-CHA-NE17	r3-r4-g2-b3-gy1	0
b3	C078-CHA-NE18	r3-r4-g1-g2-b4	0.450944546008531
b3	C079-CHA-NE19	Control	0.38130381303813
b3	C081-CHA-C01	r1-r2-gy1	0.229885057471264
b3	C082-CHA-C02	Control	0.220453153704838
b3	C083-CHA-C03	r3-r4-g1-g2-b4	0.351089588377724
b3	C084-CHA-C04	Control	0.363856882959369
b3	C086-CHA-C06	Control	0.243228302929795
b3	C087-CHA-C07	Control	0.333539221741816
b3	C088-CHA-C08	Control	0.258780036968577
b3	C089-CHA-C09	Control	0.312687913409501
b3	C090-CHA-C10	Control	0.41871921182266
b3	C091-CHA-C11	r3-r4-g1-g2-b4	0.841346153846154
b3	C094-CHA-C14	r3-r4-g1-g2-b4	0.838396111786148
b3	C095-CHA-C15	CON	0.539245056920312
b3	C096-CHA-C16	r3-r4-g2-b3-gy1	0
b3	C097-CHA-C17	Control	0.399274047186933
