Subgroup	Sample	Type	Normalized_depth	Median_value	Control_Normalized_depth
b1/b2	C005-CHA-E05	CON	0.663161778269693	0.670230072042762	0.9895
b1/b2	C006-CHA-E06	Control	0.684786119699138	0.670230072042762	1.0217
b1/b2	C007-CHA-E07	r3-r4-g1-g2-b4	0.607043558850787	0.670230072042762	0.9057
b1/b2	C008-CHA-E08	Control	0.662650602409638	0.670230072042762	0.9887
b1/b2	C010-CHA-E10	r1-r2-gy1	0.707070707070707	0.670230072042762	1.0550
b1/b2	C011-CHA-E11	r3-r4-g2-b3-gy1	0.724091395597749	0.670230072042762	1.0804
b1/b2	C012-CHA-E12	Control	0.670075984259108	0.670230072042762	0.9998
b1/b2	C013-CHA-E13	Control	0.647768796368066	0.670230072042762	0.9665
b1/b2	C014-CHA-E14	Control	0.675527841592824	0.670230072042762	1.0079
b1/b2	C015-CHA-E15	Control	0.686683347233806	0.670230072042762	1.0245
b1/b2	C016-CHA-E16	r3-r4-g1-g2-b4	0.709916589434661	0.670230072042762	1.0592
b1/b2	C017-CHA-E17	Control	0.663938571888362	0.670230072042762	0.9906
b1/b2	C018-CHA-E18	Control	0.691879375930316	0.670230072042762	1.0323
b1/b2	C019-CHA-E19	Control	0.733460733460734	0.670230072042762	1.0943
b1/b2	C020-CHA-E20	Control	0.654427143853127	0.670230072042762	0.9764
b1/b2	C021-CHA-S01	Control	0.666152121579653	0.670230072042762	0.9939
b1/b2	C021-CHA-S01_2	Control	0.642434488588335	0.670230072042762	0.9585
b1/b2	C022-CHA-S02	Control	0.719397987157549	0.670230072042762	1.0734
b1/b2	C023-CHA-S03	Control	0.659874754649967	0.670230072042762	0.9845
b1/b2	C023-CHA-S03_2	Control	0.614829881656805	0.670230072042762	0.9173
b1/b2	C024-CHA-S04	r1-r2-gy1	0.677666744132002	0.670230072042762	1.0111
b1/b2	C024-CHA-S04_2	Control	0.681048379793149	0.670230072042762	1.0161
b1/b2	C025-CHA-S05	CON	0.613858513319913	0.670230072042762	0.9159
b1/b2	C026-CHA-S06	Control	0.664016834229599	0.670230072042762	0.9907
b1/b2	C027-CHA-S07	Control	0.695252340590549	0.670230072042762	1.0373
b1/b2	C028-CHA-S08	Control	0.632769417702588	0.670230072042762	0.9441
b1/b2	C029-CHA-S09	Control	0.697858842188739	0.670230072042762	1.0412
b1/b2	C030-CHA-S10	Control	0.675218820914185	0.670230072042762	1.0074
b1/b2	C035-CHA-S15	Control	0.725920346483382	0.670230072042762	1.0831
b1/b2	C036-CHA-S16	r1-r2-gy1	0.663161778269693	0.670230072042762	0.9895
b1/b2	C037-CHA-S17	Control	0.618548876745597	0.670230072042762	0.9229
b1/b2	C038-CHA-S18	Control	0.597213005972129	0.670230072042762	0.8911
b1/b2	C039-CHA-S19	Control	0.709395591285355	0.670230072042762	1.0584
b1/b2	C040-CHA-S20	Control	0.687379207234803	0.670230072042762	1.0256
b1/b2	C041-CHA-N01	Control	0.671683389074694	0.670230072042762	1.0022
b1/b2	C042-CHA-N02	Control	0.689872933251684	0.670230072042762	1.0293
b1/b2	C044-CHA-N04	Control	0.664783114508892	0.670230072042762	0.9919
b1/b2	C045-CHA-N05	Control	0.682091018225472	0.670230072042762	1.0177
b1/b2	C046-CHA-N06	r3-r4-g1-g2-b4	0.698113550120739	0.670230072042762	1.0416
b1/b2	C047-CHA-N07	r3-r4-g1-g2-b4	0.649609871166757	0.670230072042762	0.9692
b1/b2	C048-CHA-N08	Control	0.670230072042762	0.670230072042762	1.0000
b1/b2	C049-CHA-N09	Control	0.680438524961493	0.670230072042762	1.0152
b1/b2	C050-CHA-N10	CON	0.660708411009979	0.670230072042762	0.9858
b1/b2	C051-CHA-N11	CON	0.712786304053739	0.670230072042762	1.0635
b1/b2	C052-CHA-N12	r3-r4-g2-b3-gy1	0.634914582062234	0.670230072042762	0.9473
b1/b2	C054-CHA-N14	Control	0.729893330380541	0.670230072042762	1.0890
b1/b2	C055-CHA-N15	CON	0.736636245110822	0.670230072042762	1.0991
b1/b2	C056-CHA-N16	Control	0.650960355757404	0.670230072042762	0.9712
b1/b2	C057-CHA-N17	Control	0.684596577017115	0.670230072042762	1.0214
b1/b2	C058-CHA-N18	Control	0.633024410278387	0.670230072042762	0.9445
b1/b2	C059-CHA-N19	r3-r4-g2-b3-gy1	0.656397771431248	0.670230072042762	0.9794
b1/b2	C061-CHA-NE01	CON	0.687098136762567	0.670230072042762	1.0252
b1/b2	C062-CHA-NE02	Control	0.738835632452653	0.670230072042762	1.1024
b1/b2	C063-CHA-NE03	Control	0.642270351008215	0.670230072042762	0.9583
b1/b2	C064-CHA-NE04	r3-r4-g1-g2-b4	0.66530100025837	0.670230072042762	0.9926
b1/b2	C066-CHA-NE06	Control	0.728495642288746	0.670230072042762	1.0869
b1/b2	C067-CHA-NE07	Control	0.671328671328671	0.670230072042762	1.0016
b1/b2	C069-CHA-NE09	Control	0.642897248736664	0.670230072042762	0.9592
